Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day2TD,Chrome 67.0.3396.99,,2018-07-25 11:47:00,2018-07-25 11:47:39,39.257s,PASSED
,,,,,,
Test Cases/DaY 2/test3,Chrome 67.0.3396.99,,2018-07-25 11:47:00,2018-07-25 11:47:39,38.933s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:47:01,2018-07-25 11:47:25,23.863s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:47:25,2018-07-25 11:47:30,5.569s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:47:30,2018-07-25 11:47:30,0.113s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:47:30,2018-07-25 11:47:30,0.106s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:47:30,2018-07-25 11:47:30,0.092s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:47:30,2018-07-25 11:47:34,4.028s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:47:34,2018-07-25 11:47:36,1.823s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:47:36,2018-07-25 11:47:37,0.916s,PASSED
