Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 67.0.3396.99,,2018-07-24 15:04:21,2018-07-24 15:06:10,1m - 48.910s,PASSED
,,,,,,
Test Cases/login/Test2,Chrome 67.0.3396.99,Test2,2018-07-24 15:04:22,2018-07-24 15:05:14,52.545s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:22,2018-07-24 15:04:46,23.788s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:46,2018-07-24 15:04:47,0.660s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:47,2018-07-24 15:04:47,0.563s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-24 15:04:47,2018-07-24 15:04:47,0.146s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:04:47,2018-07-24 15:04:48,0.370s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:48,2018-07-24 15:04:49,0.898s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:49,2018-07-24 15:04:49,0.671s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:49,2018-07-24 15:05:12,22.943s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 15:05:12,2018-07-24 15:05:12,0.036s,PASSED
,,,,,,
Test Cases/login/Test1,Chrome 67.0.3396.99,Test1,2018-07-24 15:05:14,2018-07-24 15:06:10,55.413s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:14,2018-07-24 15:05:38,23.621s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:05:38,2018-07-24 15:05:39,0.703s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:05:39,2018-07-24 15:05:39,0.465s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:05:39,2018-07-24 15:05:39,0.161s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:05:39,2018-07-24 15:05:40,0.121s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:05:40,2018-07-24 15:05:41,1.117s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:41,2018-07-24 15:05:41,0.602s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:41,2018-07-24 15:06:04,22.959s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:06:04,2018-07-24 15:06:08,3.465s,PASSED
