Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Chrome 67.0.3396.99,,2018-07-24 17:43:56,2018-07-24 17:45:12,1m - 16.194s,FAILED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Chrome 67.0.3396.99,OrangeHRM,2018-07-24 17:43:57,2018-07-24 17:45:12,1m - 15.250s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:44:21,23.973s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:44:21,2018-07-24 17:44:26,4.528s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:44:26,2018-07-24 17:44:26,0.208s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:44:26,2018-07-24 17:44:26,0.355s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:26,2018-07-24 17:44:28,2.191s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 17:44:28,2018-07-24 17:44:38,10.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:44:38,2018-07-24 17:45:10,31.253s,FAILED
